"empid","department","position","salary","termd","employmentstatus","recruitmentsource","performancescore","empsatisfaction","engagementsurvey","absences","dayslatelast30","tenureyears"
10026,"Production","Production Technician I",62506,0,"Active","LinkedIn","Exceeds",5,4.60,1,0,7.49
10084,"IT/IS","Sr. DBA",104437,1,"Voluntarily Terminated","Indeed","Fully Meets",3,4.96,17,0,3.76
10196,"Production","Production Technician II",64955,1,"Voluntarily Terminated","LinkedIn","Fully Meets",3,3.02,3,0,7.49
10088,"Production","Production Technician I",64991,0,"Active","Indeed","Fully Meets",5,4.84,15,0,10.98
10069,"Production","Production Technician I",50825,1,"Voluntarily Terminated","Google Search","Fully Meets",4,5.00,2,0,7.48
10002,"Production","Production Technician I",57568,0,"Active","LinkedIn","Exceeds",5,5.00,15,0,6.98
10194,"Software Engineering","Software Engineer",95660,0,"Active","LinkedIn","Fully Meets",3,3.04,19,0,4.14
10062,"Production","Production Technician I",59365,0,"Active","Employee Referral","Fully Meets",4,5.00,19,0,5.25
10114,"Production","Production Technician I",47837,0,"Active","Diversity Job Fair","Fully Meets",3,4.46,4,0,9.49
10250,"IT/IS","IT Support",50178,0,"Active","Indeed","Fully Meets",5,5.00,16,0,3.99
10252,"Production","Production Technician I",54670,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",4,4.20,12,0,7.98
10242,"Production","Production Technician I",47211,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",3,4.20,15,0,6.75
10012,"IT/IS","Data Analyst",92328,0,"Active","Diversity Job Fair","Exceeds",4,4.28,9,0,4.14
10265,"Production","Production Technician I",58709,0,"Active","Google Search","Fully Meets",4,4.60,7,0,6.86
10066,"Production","Production Technician I",52505,1,"Voluntarily Terminated","On-line Web application","Fully Meets",5,5.00,1,0,6.27
10061,"Production","Production Technician I",57834,1,"Terminated for Cause","Google Search","Fully Meets",4,5.00,20,0,7.86
10023,"Production","Production Technician II",70131,0,"Active","Employee Referral","Exceeds",3,4.40,16,0,2.45
10055,"Production","Production Technician I",59026,0,"Active","Google Search","Fully Meets",5,5.00,12,0,7.75
10245,"IT/IS","Database Administrator",110000,1,"Terminated for Cause","Google Search","Fully Meets",4,4.50,8,0,4.49
10277,"Production","Production Technician I",53250,0,"Active","LinkedIn","Fully Meets",4,4.20,13,0,5.48
10046,"Production","Production Technician I",51044,0,"Active","Google Search","Fully Meets",3,5.00,13,0,6.75
10226,"Production","Production Technician I",64919,0,"Active","Indeed","Fully Meets",3,4.20,2,0,5.37
10003,"Production","Production Technician I",62910,0,"Active","Indeed","Exceeds",3,5.00,19,0,4.49
10294,"Production","Production Technician II",66441,0,"Active","CareerBuilder","Needs Improvement",3,2.00,3,2,7.75
10267,"Production","Production Technician II",57815,1,"Voluntarily Terminated","Google Search","Fully Meets",5,4.80,5,0,7.98
10199,"IT/IS","Enterprise Architect",103613,1,"Terminated for Cause","LinkedIn","Fully Meets",5,3.50,2,0,4.87
10081,"Admin Offices","Sr. Accountant",106367,0,"Active","Diversity Job Fair","Fully Meets",4,5.00,4,0,3.87
10175,"Production","Production Manager",74312,1,"Voluntarily Terminated","Indeed","Fully Meets",3,3.39,14,0,5.25
10177,"Production","Production Technician I",53492,1,"Voluntarily Terminated","Google Search","Fully Meets",4,3.35,6,0,6.75
10238,"Admin Offices","Accountant I",63000,0,"Active","Diversity Job Fair","Fully Meets",2,4.50,14,0,10.18
10184,"Production","Production Technician II",65288,0,"Active","Google Search","Fully Meets",3,3.19,9,0,4.26
10203,"Production","Production Technician I",64375,0,"Active","Diversity Job Fair","Fully Meets",5,3.50,17,0,5.14
10188,"Sales","Area Sales Manager",74326,1,"Voluntarily Terminated","Google Search","Fully Meets",5,3.14,19,1,7.38
10107,"Production","Production Technician II",63763,0,"Active","Employee Referral","Fully Meets",4,4.51,3,0,6.83
10181,"Production","Production Technician II",62162,0,"Active","Indeed","Fully Meets",5,3.25,15,0,7.75
10150,"Software Engineering","Software Engineering Manager",77692,0,"Active","Google Search","Fully Meets",3,3.84,4,0,7.38
10001,"Production","Production Manager",72640,0,"Active","Indeed","Exceeds",3,5.00,14,0,2.93
10085,"Software Engineering","Software Engineer",93396,0,"Active","Indeed","Fully Meets",4,4.96,3,0,5.14
10115,"Production","Production Technician I",52846,0,"Active","LinkedIn","Fully Meets",3,4.43,14,0,4.76
10082,"IT/IS","Sr. DBA",100031,0,"Active","LinkedIn","Fully Meets",5,5.00,7,0,2.51
10040,"Sales","Area Sales Manager",71860,0,"Active","Indeed","Fully Meets",5,5.00,7,0,4.37
10067,"Production","Production Technician I",61656,0,"Active","Google Search","Fully Meets",4,5.00,11,0,4.26
10108,"IT/IS","BI Director",110929,0,"Active","Indeed","Fully Meets",5,4.50,8,0,2.32
10210,"Production","Production Technician I",54237,0,"Active","Indeed","Fully Meets",4,3.30,11,0,4.64
10154,"Production","Production Technician I",60380,0,"Active","LinkedIn","Fully Meets",5,3.80,4,0,5.48
10200,"Sales","Area Sales Manager",66808,0,"Active","Employee Referral","Fully Meets",5,3.00,17,0,6.63
10240,"Production","Production Technician I",64786,1,"Voluntarily Terminated","Indeed","Fully Meets",4,4.30,3,0,7.52
10168,"Production","Production Technician I",64816,0,"Active","Indeed","Fully Meets",5,3.58,3,0,7.25
10220,"IT/IS","IT Support",68678,0,"Active","Indeed","Fully Meets",3,4.70,2,0,6.32
10275,"Production","Production Technician II",64066,1,"Voluntarily Terminated","Google Search","Fully Meets",5,4.20,9,0,7.63
10269,"Production","Production Technician II",59369,1,"Voluntarily Terminated","Indeed","Fully Meets",4,4.20,6,0,8.34
10029,"Production","Production Technician I",50373,0,"Active","Employee Referral","Exceeds",4,4.10,5,0,2.49
10261,"Production","Production Technician I",63108,0,"Active","Employee Referral","Fully Meets",5,4.40,3,0,5.48
10292,"Production","Production Technician I",59144,1,"Terminated for Cause","LinkedIn","Needs Improvement",3,2.00,16,5,7.48
10282,"Production","Production Manager",68051,0,"Active","CareerBuilder","Needs Improvement",2,4.13,3,3,8.45
10019,"Production","Director of Operations",170500,0,"Active","Indeed","Exceeds",5,3.70,15,0,9.99
10094,"Production","Production Technician I",63381,0,"Active","Indeed","Fully Meets",5,4.73,6,0,3.99
10193,"IT/IS","Data Analyst",83552,0,"Active","Indeed","Fully Meets",3,3.04,2,0,3.76
10132,"Production","Production Technician I",56149,0,"Active","LinkedIn","Fully Meets",5,4.12,15,0,2.49
10083,"IT/IS","Sr. Network Engineer",92329,0,"Active","Employee Referral","Fully Meets",3,5.00,5,0,4.14
10099,"Sales","Sales Manager",65729,0,"Active","Indeed","Fully Meets",4,4.62,8,0,4.66
10212,"IT/IS","Sr. Network Engineer",85028,0,"Active","LinkedIn","Fully Meets",5,3.10,19,0,4.14
10056,"Production","Production Technician I",57583,0,"Active","Indeed","Fully Meets",3,5.00,1,0,6.50
10143,"Production","Production Technician II",56294,0,"Active","LinkedIn","Fully Meets",4,3.96,6,0,7.15
10311,"Production","Production Technician I",56991,0,"Active","Indeed","Fully Meets",4,4.30,2,2,0.48
10070,"Production","Production Technician I",55722,1,"Voluntarily Terminated","Indeed","Fully Meets",4,5.00,14,0,7.63
10155,"Software Engineering","Software Engineer",101199,0,"Active","CareerBuilder","Fully Meets",5,3.79,8,0,6.98
10306,"Sales","Area Sales Manager",61568,0,"Active","Indeed","PIP",3,1.93,5,6,4.26
